,상품명,단가,상품코드
338,남)이오하이요구르트80*10입,2980,8801069406855
339,청정원)한우감치미스틱120g,2800,8801052137223
340,사세)버팔로스틱봉,10200,8809146313027
341,한양)알마늘,6200,8804443200155
342,장원)고급손약과,4500,8809245362193
343,푸건)찰순대슬라이스,3700,8809379740744
344,하나)생바지락살,2700,2100000604500
345,삼립)조각케익까망베르,1900,8801068069846
346,뚜레반)신당원60g,380,8805017400094
347,샘표)501S양조간장930ml,6280,8801005112000
348,청정원)유기농흑설탕1kg,6900,8801052729749
349,모닌)자몽시럽1L,13900,3052910516123
350,1883그린민트시럽(1군,14500,612511165002
351,동원)떡신치즈떡볶이332g,3300,8801047416418
352,동원)조이락교자만두1.35kg,3500,8801047312192
353,홈)투게더밀크딸기,3300,8801104142380
354,명진라텍스다용도장갑,9800,8802739467572
355,수입당근(10kg/특/박스/중국산),6900,2100000627066
356,화성)고급요지대,900,8802185100313
357,샌드)참붕어클래식,650,8801104302081
358,동원)황금복숭아410g,990,8801047151524
359,동서)자색옥수수차30g,2250,8801037090628
360,수입 냉장 국거리,6712,207957
361,남양)유기농아기180,5800,8801069177229
362,벨라스코르사리아스,5500,8422795000973
363,페)브레쓰케어플러스,4200,8801051067514
364,페)캐비티케어플러스,4200,8801051067507
365,농)벌집핏자,1250,8801043036313
366,농)꿀꽈배기,1150,8801043036177
367,크)화이트하임,4980,8801111930499
368,농)고구마깡,1250,8801043036092
369,대림)빅불고기햄,3900,8801066011526
370,크린업소용랩30*500,7900,8801252015802
371,청상추(4kg/특/박스/국산),22900,2100000625574
372,생활가득초고추장13kg,19800,8801389014464
373,롯)꼬깔콘매콤달콤한맛,1500,8801062007103
374,롯)야채레시피,1200,8801062521524
375,씨)맛있는콩나물 220g,1200,8801007084978
376,씨)맛있는부침300g,990,8801007112497
377,오)초코송이2입,1000,8801117432300
378,서광)트롤리애플오스,1800,8437000482048
379,오뚜기)뿌셔뿌셔불고기,700,8801045560038
380,엘)소프란바이올렛리필,1980,8801051027174
381,성경)구운김밥김,1900,8807004801020
382,동원)숯불김밥햄100g,1000,8801047577652
383,대림)얇은사각어묵,1080,8801066151017
384,종가집)김밥단무지400,1500,8801024053995
385,대)광천해저파래김16P,3950,8809275101632
386,해)백진미1kg,18500,8809009748645
387,생삼겹살 숯불구이,13642,207127
388,카스후레쉬캔,1450,8801858011017
389,동)365순수목장우유900,1700,8801155110314
390,매)바이오85*8입,2980,8801121752951
391,청어,2580,206554
392,"한라봉(3kg,box)",6900,200558
393,샤니고소한햄버거번,1460,8801068033113
394,큐원)영양중력밀가루3kg,3800,8801013711288
395,남양)프렌치카페골드90T,14900,8801069300177
396,해)에이스,2980,8801019312069
397,오뚜기)옥수수유0.9L,3700,8801045442723
